ID	DOCULECT	CONCEPT	IPA	TOKENS	COGID	PARTIAL	PARTIAL_IDS	CLPA_IDS	CONCEPTICON_ID	GLOTTOLOG
120	Jinman	cloud	mɯ₂₁ko₄₂	m ɯ ²¹ + k o ⁴²	234	cd	50 49	241 944 1152 838 887 1175	1489	nort2724
121	Mazhelong	cloud	ɥen₂₁pe₂₁	ɥ e n ²¹ + p e ²¹	236	af	51 52	458 1089 107 1152 291 1089 1152	1489	sout2730
122	Dashi	cloud	vɤ̃₂₁nõ₂₁	v ɤ̃ ²¹ + n õ ²¹	237	ab	51 53	451 948 1152 107 883 1152	1489	cent2004
123	Zhoucheng	cloud	ɤ₂₁	ɤ ²¹	235	a	51	947 1152	1489	sout2730
124	Jinxing	cloud	ɤ̃₂₁	ɤ̃ ²¹	235	a	51	948 1152	1489	cent2004
125	Tuolo	cloud	ŋɔ₃₅qa₄₂	ŋ ɔ ³⁵ + q a ⁴²	232	ed	48 49	801 916 1165 757 997 1175	1489	nort2724
126	Enqi	cloud	ʁæ₂₁	ʁ æ ²¹	235	a	51	739 1087 1152	1489	nort2724
127	Ega	cloud	mɯ̃₂₁ko₄₂	m ɯ̃ ²¹ + k o ⁴²	234	cd	50 49	241 943 1152 838 887 1175	1489	nort2724
128	Gongxing	cold	ga₁₂	ɡ a ¹²	238	b	54	831 997 1167	1287	nort2724
129	Jinman	cold	kɯ₅₅	k ɯ ⁵⁵	239	a	55	838 944 1189	1287	nort2724
130	Mazhelong	cold	kɯ₅₅	k ɯ ⁵⁵	239	a	55	838 944 1189	1287	sout2730
131	Dashi	cold	kɯ₃₅	k ɯ ³⁵	239	a	55	838 944 1165	1287	cent2004
132	Zhoucheng	cold	kɯ₃₅	k ɯ ³⁵	239	a	55	838 944 1165	1287	sout2730
133	Jinxing	cold	kɯ₅₅	k ɯ ⁵⁵	239	a	55	838 944 1189	1287	cent2004
134	Tuolo	cold	kɯ₅₅	k ɯ ⁵⁵	239	a	55	838 944 1189	1287	nort2724
135	Enqi	cold	kɯ₂₄	k ɯ ²⁴	239	a	55	838 944 1156	1287	nort2724
136	Ega	cold	kɯ₅₅	k ɯ ⁵⁵	239	a	55	838 944 1189	1287	nort2724
137	Dashi	cold	ka₂₁	k a ²¹	239	a	55	838 997 1152	1287	cent2004
138	Jinxing	cold	kɑ₂₁	k ɑ ²¹	238	b	54	838 952 1152	1287	cent2004
139	Gongxing	come	ji₂₁kǝ₂₂	j i ²¹ + k ə ²²	241	bc	56 57	570 1076 1152 838 1022 1150	1446	nort2724
140	Jinman	come	ʨwa₅₅	tɕ w a ⁵⁵	242	d	58	200 462 997 1189	1446	nort2724
141	Mazhelong	come	ɣǝɯ₂₁	ɣ əu ²¹	243	a	59	780 1036 1152	1446	sout2730
142	Dashi	come	ɣǝ₃₅	ɣ ə ³⁵	243	a	59	780 1022 1165	1446	cent2004
143	Zhoucheng	come	jɯ₃₅	j ɯ ³⁵	240	b	56	570 944 1165	1446	sout2730
144	Jinxing	come	ɣǝ₃₅	ɣ ə ³⁵	243	a	59	780 1022 1165	1446	cent2004
145	Tuolo	come	t͡ʂʰo₄₂	ʈʂʰ o ⁴²	245	e	60	697 887 1175	1446	nort2724
146	Enqi	come	ji₅₅ki₂₄	j i ⁵⁵ + k i ²⁴	241	bc	56 57	570 1076 1189 838 1076 1156	1446	nort2724
147	Ega	come	ji₅₅kɯ₂₂	j i ⁵⁵ + k ɯ ²²	241	bc	56 57	570 1076 1189 838 944 1150	1446	nort2724
148	Tuolo	come	jɯ₃₃kɯ₅₅	j ɯ ³³ + k ɯ ⁵⁵	241	bc	56 57	570 944 1161 838 944 1189	1446	nort2724
149	Gongxing	die	ɕi₂₂	ɕ i ²²	246	a	61	204 1076 1150	1494	nort2724
150	Jinman	die	ɕi₂₂	ɕ i ²²	246	a	61	204 1076 1150	1494	nort2724
151	Mazhelong	die	ɕi₃₃	ɕ i ³³	246	a	61	204 1076 1161	1494	sout2730
152	Dashi	die	ɕi₃₃	ɕ i ³³	246	a	61	204 1076 1161	1494	cent2004
153	Zhoucheng	die	ɕi₃₃	ɕ i ³³	246	a	61	204 1076 1161	1494	sout2730
154	Jinxing	die	ɕi₃₃	ɕ i ³³	246	a	61	204 1076 1161	1494	cent2004
155	Tuolo	die	ɕi₃₃	ɕ i ³³	246	a	61	204 1076 1161	1494	nort2724
156	Enqi	die	si₂₂	s i ²²	246	a	61	89 1076 1150	1494	nort2724
157	Ega	die	si₂₂	s i ²²	246	a	61	89 1076 1150	1494	nort2724
158	Gongxing	dog	qʰwaŋ₂₂	qʰ w a ŋ ²²	247	a	62	759 462 997 801 1150	2009	nort2724
159	Jinman	dog	qʰõ₂₂	qʰ õ ²²	247	a	62	759 883 1150	2009	nort2724
160	Mazhelong	dog	kʰwaŋ₃₃	kʰ w a ŋ ³³	247	a	62	820 462 997 801 1161	2009	sout2730
161	Dashi	dog	kʰwaŋ₃₃	kʰ w a ŋ ³³	247	a	62	820 462 997 801 1161	2009	cent2004
162	Zhoucheng	dog	kʰwa₃₃	kʰ w a ³³	247	a	62	820 462 997 1161	2009	sout2730
163	Jinxing	dog	kʰwɑ̃₃₃	kʰ w ɑ̃ ³³	247	a	62	820 462 951 1161	2009	cent2004
164	Tuolo	dog	qʰwaŋ₃₃	qʰ w a ŋ ³³	247	a	62	759 462 997 801 1161	2009	nort2724
165	Enqi	dog	qʰwa₂₂	qʰ w a ²²	247	a	62	759 462 997 1150	2009	nort2724
166	Ega	dog	qʰwa₂₂	qʰ w a ²²	247	a	62	759 462 997 1150	2009	nort2724
167	Gongxing	drink	ʔoŋ₂₂	ʔ o ŋ ²²	248	a	63	409 887 801 1150	1401	nort2724
168	Jinman	drink	ɯ̃₂₂	ɯ̃ ²²	248	a	63	943 1150	1401	nort2724
169	Mazhelong	drink	oŋ₃₃	o ŋ ³³	248	a	63	887 801 1161	1401	sout2730
170	Dashi	drink	ǝ̃₃₃	ə̃ ³³	248	a	63	1020 1161	1401	cent2004
171	Zhoucheng	drink	ɯ₃₃	ɯ ³³	248	a	63	944 1161	1401	sout2730
172	Jinxing	drink	ǝ̃₃₃	ə̃ ³³	248	a	63	1020 1161	1401	cent2004
173	Tuolo	drink	ɯ̃₃₃	ɯ̃ ³³	248	a	63	943 1161	1401	nort2724
174	Enqi	drink	ɯ₂₂	ɯ ²²	248	a	63	944 1150	1401	nort2724
175	Ega	drink	ɯ̃₂₂	ɯ̃ ²²	248	a	63	943 1150	1401	nort2724
176	Gongxing	dry	qaŋ₅₅	q a ŋ ⁵⁵	249	a	64	757 997 801 1189	1398	nort2724
177	Jinman	dry	qã₅₅	q ã ⁵⁵	249	a	64	757 1014 1189	1398	nort2724
178	Mazhelong	dry	kaŋ₅₅	k a ŋ ⁵⁵	249	a	64	838 997 801 1189	1398	sout2730
179	Dashi	dry	kã₃₅	k ã ³⁵	249	a	64	838 1014 1165	1398	cent2004
180	Zhoucheng	dry	ka₃₅	k a ³⁵	249	a	64	838 997 1165	1398	sout2730
181	Jinxing	dry	kɑ̃₅₅	k ɑ̃ ⁵⁵	249	a	64	838 951 1189	1398	cent2004
182	Tuolo	dry	qɔŋ₅₅	q ɔ ŋ ⁵⁵	249	a	64	757 916 801 1189	1398	nort2724
183	Enqi	dry	qa₂₄	q a ²⁴	249	a	64	757 997 1156	1398	nort2724
184	Ega	dry	qo₅₅	q o ⁵⁵	249	a	64	757 887 1189	1398	nort2724
185	Gongxing	ear	jaŋ₂₂kʰwaŋ₂₂	j a ŋ ²² + kʰ w a ŋ ²²	250	ab	65 66	570 997 801 1150 820 462 997 801 1150	1247	nort2724
186	Jinman	ear	ẽ₄₂ʨwẽ₂₂	ẽ ⁴² + tɕ w ẽ ²²	252	ae	65 67	1090 1175 200 462 1090 1150	1247	nort2724
187	Mazhelong	ear	jɛ₃₃kɛ₃₃pjen₂₁	j ɛ ³³ + k ɛ ³³ + p j e n ²¹	251	abg	65 66 68	570 1121 1161 838 1121 1161 291 570 1089 107 1152	1247	sout2730
188	Dashi	ear	jen₃₃toŋ₃₁	j e n ³³ + t o ŋ ³¹	253	ac	65 69	570 1089 107 1161 120 887 801 1162	1247	cent2004
189	Zhoucheng	ear	ɲow₃₃to₄₂	ɲ o w ³³ + t o ⁴²	254	ai	65 70	595 887 462 1161 120 887 1175	1247	sout2730
190	Jinxing	ear	jen₃₃tɯ₃₁kwɑ₅₅	j e n ³³ + t ɯ ³¹ + k w ɑ ⁵⁵	255	afb	65 71 66	570 1089 107 1161 120 944 1162 838 462 952 1189	1247	cent2004
191	Tuolo	ear	wen₃₃zɥen₃₅	w e n ³³ + z ɥ e n ³⁵	256	ah	65 72	462 1089 107 1161 80 458 1089 107 1165	1247	nort2724
192	Enqi	ear	ŋu₂₂ʦu₂₁qʰwa₂₄	ŋ u ²² + ts u ²¹ + qʰ w a ²⁴	258	cdb	69 73 66	801 868 1150 15 868 1152 759 462 997 1156	1247	nort2724
193	Ega	ear	ji₂₂ʨyj₂₁	j i ²² + tɕ y j ²¹	257	ad	65 73	570 1076 1150 200 1047 570 1152	1247	nort2724
194	Gongxing	earth	ʥi₄₂	dʑ i ⁴²	260	a	74	197 1076 1175	1228	nort2724
195	Jinman	earth	ʥi₄₂	dʑ i ⁴²	260	a	74	197 1076 1175	1228	nort2724
196	Mazhelong	earth	ti₂₁	t i ²¹	260	a	74	120 1076 1152	1228	sout2730
197	Dashi	earth	ʨi₃₁	tɕ i ³¹	260	a	74	200 1076 1162	1228	cent2004
198	Zhoucheng	earth	ʨi₃₁	tɕ i ³¹	260	a	74	200 1076 1162	1228	sout2730
199	Jinxing	earth	ʨi₃₁	tɕ i ³¹	260	a	74	200 1076 1162	1228	cent2004
200	Tuolo	earth	ʑi₂₁	ʑ i ²¹	260	a	74	203 1076 1152	1228	nort2724
201	Enqi	earth	ʥi₄₃	dʑ i ⁴³	260	a	74	197 1076 1176	1228	nort2724
202	Ega	earth	ʨi₄₂pa₂₂	tɕ i ⁴² + p a ²²	261	ab	74 75	200 1076 1175 291 997 1150	1228	nort2724
203	Gongxing	eat	ju₂₄	j u ²⁴	262	a	76	570 868 1156	1336	nort2724
204	Jinman	eat	ji₅₅	j i ⁵⁵	262	a	76	570 1076 1189	1336	nort2724
205	Mazhelong	eat	ji₄₄	j i ⁴⁴	262	a	76	570 1076 1178	1336	sout2730
206	Dashi	eat	jɯ₄₄	j ɯ ⁴⁴	262	a	76	570 944 1178	1336	cent2004
207	Zhoucheng	eat	jɯ₄₄	j ɯ ⁴⁴	262	a	76	570 944 1178	1336	sout2730
208	Jinxing	eat	jɯ₄₄	j ɯ ⁴⁴	262	a	76	570 944 1178	1336	cent2004
209	Tuolo	eat	ju₄₂	j u ⁴²	262	a	76	570 868 1175	1336	nort2724
210	Enqi	eat	jɯ₅₅	j ɯ ⁵⁵	262	a	76	570 944 1189	1336	nort2724
211	Ega	eat	ji₄₄	j i ⁴⁴	262	a	76	570 1076 1178	1336	nort2724
212	Gongxing	egg	sen₄₂	s e n ⁴²	263	a	77	89 1089 107 1175	744	nort2724
213	Jinman	egg	sẽ₄₂	s ẽ ⁴²	263	a	77	89 1090 1175	744	nort2724
214	Mazhelong	egg	sɛ₄₂	s ɛ ⁴²	263	a	77	89 1121 1175	744	sout2730
215	Dashi	egg	sen₄₂	s e n ⁴²	263	a	77	89 1089 107 1175	744	cent2004
216	Zhoucheng	egg	se₄₂	s e ⁴²	263	a	77	89 1089 1175	744	sout2730
217	Jinxing	egg	sen₄₂	s e n ⁴²	263	a	77	89 1089 107 1175	744	cent2004
218	Tuolo	egg	sen₂₁	s e n ²¹	263	a	77	89 1089 107 1152	744	nort2724
219	Enqi	egg	sɛ₄₃	s ɛ ⁴³	263	a	77	89 1121 1176	744	nort2724
