ID	ORTHOGRAPHY	CELEX	TYPE	SOURCE_FORM	SOURCE_LANGUAGE	STRATUM	ATTESTED
45	Abkommen	a p k ɔ m ə n				1	16. Jh., Bedeutung 17. Jh.
46	abkratzen	a p k r a t͡s ə n				1	19. Jh.
47	Abkunft	a p k ʊ n f t				1	17. Jh.
48	Ablaß					2	9. Jh.
49	Ablativ	a b l a t iː f	1			?	15. Jh., Form 18. Jh.
50	ablaufen	a p l au f ə n				2	16. Jh.
51	Ablaut	a p l au t				?	15. Jh.
52	Ableger	a p l eː ɡ ə r				2	18. Jh.
53	ablehnen	a p l eː n ə n				1	16. Jh.
54	abluchsen	a p l ʊ k s ə n				1	18. Jh.
55	abmurksen	a p m ʊ r k s ə n				1	18. Jh.
56	abnorm	a p n ɔ r m	1	abnormis	l	2	19. Jh.
57	Abort 1					2	16. Jh., Standard 18. Jh.
58	Abort 2		1			?	14. Jh., Form 17. Jh.
59	Abriß					1	16. Jh., Bedeutung 19. Jh.
60	abrupt	a p r ʊ p t	1	abruptus	l	2	18. Jh.
61	Absatz	a p z a t͡s				1	14. Jh., Bedeutung 17. Jh.
62	abschätzig					1	15. Jh.
63	Abschaum	a p ʃ au m				1	15. Jh.
64	Abscheu	a p ʃ ɔy				1	16. Jh.
65	Abschied	a p ʃ iː t				1	15. Jh.
66	Abschlag	a p ʃ l aː k				1	13. Jh., Bedeutung 16. Jh.
67	abschüssig					1	16. Jh.
68	abseits	a p z ai t͡s				1	17. Jh.
69	Absicht	a p z ɪ x t				1	16. Jh., Form 17. Jh.
70	Absinth		1	absinthe	frz	?	19. Jh.
71	absolut	a p z oː l uː t	1	absolUtus	l	1	15. Jh.
72	abspenstig	a p ʃ p ɛ n s t ɪ x				1	14. Jh., Form 16. Jh.
73	Abstand	a p ʃ t a n t				1	15. Jh.
74	abstatten	a p ʃ t a t ə n				1	16. Jh.
75	Abstecher	a p ʃ t ɛ x ə r	1			1	17. Jh., Bedeutung 18. Jh.
76	Abstinenz	a p s t iː n ɛ n t͡s	1			2	13. Jh., Form 15. Jh.
77	abstrakt	a p s t r a k t	1	abstractus	l	1	15. Jh.
78	abstrus	a p s t r uː s	1	abstrUsus	l	2	17. Jh.
79	absurd	a p z ʊ r t	1	absurdus	l	1	16. Jh.
80	Abszeß		1	abscessus	l	?	16. Jh.
81	Abt	a p t	1			1	9. Jh.
82	Abteil	a p t ai l				1	14. Jh., Bedeutung 19. Jh.
83	abträglich					1	13. Jh., Bedeutung 16. Jh.
84	abtreiben	a p t r ai b ə n				1	12. Jh., Bedeutung 16. Jh.
85	Abtritt					?	16. Jh.
86	abtrünnig					2	9. Jh.
87	abwegig	a p v eː ɡ ɪ x				1	15. Jh.
88	abwesend	a p v eː z ə n t				1	11. Jh., Form 15. Jh.
89	abzapfen	a p t͡s a p f ə n				1	16. Jh.
90	Accessoires		1	accessoires	frz	2	19. Jh.
91	ach	a x				1	10. Jh.
92	Achat	a x aː t	1			?	12. Jh., Form 15. Jh.
93	Ach(e)					?	8. Jh.
94	Achel					?	15. Jh.
95	acheln	a x ə l n	1			?	16. Jh.
96	Achse	a k s ə				1	8. Jh.
97	Achsel	a k s ə l				1	8. Jh.
98	acht	a x t				1	8. Jh.
99	Acht 1					2	11. Jh., ächten 8. Jh.
100	Acht 2					1	8. Jh.
101	achter	a x t ə r				?	10. Jh., Standard 18. Jh.
102	Achtung	a x t ʊ ŋ				1	9. Jh.
103	ächzen					1	14. Jh.
104	Acker	a k ə r				1	8. Jh.
105	Ackermännchen					?	16. Jh.
106	adagio	a d aː ʤ oː	1	adagio;	it	?	17. Jh.
107	adäquat		1	adaequAtus	l	2	17. Jh.
108	Adebar					2	11. Jh.
109	Adel 1					1	8. Jh.
110	Adel 2					?	13. Jh.
111	Adept	a d ɛ p t	1			?	16. Jh., Form 18. Jh.
112	Ader	aː d ə r				1	8. Jh.
113	adieu	a d iːɶː	1			1	15. Jh., Standard 17. Jh.
114	Adjektiv	a t j ɛ k t iː f	1	(nomen)	spl	2	17. Jh., Form 18. Jh.
115	Adjutant	a t j uː t a n t	1			2	17. Jh.
116	Adler	aː d l ə r				1	12. Jh.
117	Administration	a t m iː n ɪ s t r a t͡s iːoː n	1	administrAtio	l	2	15. Jh.
118	Admiral	a t m iː r aː l	1	admiral	frz	2	12. Jh., Form und Bedeutung 14. Jh.
119	Adresse	a d r ɛ s ə	1			1	17. Jh.
120	adrett	a d r ɛ t	1	adroit	frz	2	17. Jh.
121	Advent	a t v ɛ n t	1	adventus	l	1	13. Jh.
122	Adverb	a t v ɛ r p	1			2	16. Jh., Form 18. Jh.
123	Advokat	a t v oː k aː t	1	advocAtus	l	2	14. Jh.
124	Afel					?	15. Jh.
125	Affäre		1	affaire	frz	1	17. Jh.
126	Affekt	a f ɛ k t	1	affectus	l	2	16. Jh.
127	Affenschande	a f ə n ʃ a n d ə				1	19. Jh.
128	Affix	a f ɪ k s	1	affIxum	l	?	16. Jh., Form 20. Jh.
129	Affolter					?	8. Jh.
130	Affrikate	a f r iː k aː t ə	1	affricAta	l	?	19. Jh.
131	Affront	a f r ɔ̃ː	1	affront	frz	2	15. Jh.
132	After	a f t ə r				2	11. Jh., Bedeutung 14. Jh.
133	Agenda	a ɡ ɛ n d aː	1			2	15. Jh.
134	Agent	a ɡ ɛ n t	1	agente	it	1	16. Jh., Bedeutung 18. Jh.
135	Aggregat	a ɡ r eː ɡ aː t	1			2	15. Jh., Bedeutung 18. Jh.
136	Aggression	a ɡ r ɛ s iːoː n	1			2	18. Jh.
137	Ägide		1	aegis	l	2	18. Jh.
138	agil	a ɡ iː l	1	agile	frz	2	17. Jh.
139	Agitation	a ɡ iː t a t͡s iːoː n	1			2	16. Jh., Bedeutung 19. Jh.
140	Agonie		1	agOnia	kirchen-l	2	16. Jh., Form 18. Jh.
141	Agraffe	a ɡ r a f ə	1			?	17. Jh.
142	Agrasel		1	agras	aprov	?	13. Jh., Bedeutung 14. Jh.
143	ah	aː				1	12. Jh.
144	äh					1	19. Jh.
145	aha	a h aː				1	12. Jh.
146	Ahle	aː l ə				1	9. Jh.
147	Ahn	aː n				1	9. Jh.
148	ahnden 1					2	8. Jh.
149	ahnen	aː n ə n				1	12. Jh.
150	ähnlich					1	8. Jh., Form 12. Jh.
151	ahoi	a h ɔy	1			2	19. Jh.
152	Ahorn	aː h ɔ r n				1	8. Jh.
153	Ähre					1	8. Jh.
154	Akazie	a k aː t͡s iːə	1	acacia	l	2	15. Jh., Form 19. Jh.
155	Akklamation	a k l a m a t͡s iːoː n	1	acclAmAtio	l	?	16. Jh.
156	Akkord	a k ɔ r t	1			1	13. Jh.
157	akkurat	a k uː r aː t	1	accUrAtus	l	?	15. Jh.
158	Akkusativ	a k uː z a t iː f	1	(cAsus)	l	2	15. Jh., Form 18. Jh.
159	Akne	a k n ə	1			2	19. Jh.
160	Akribie	a k r iː b iː	1	acribia	kirchen-l	2	18. Jh.
161	Akrobat	a k r oː b aː t	1	acrobate	frz	2	19. Jh.
162	Akt 1		1	Actus	l	1	15. Jh., Form 18. Jh.
163	Akte		1			1	15. Jh., Form 16. Jh.
164	Akteur	a k t ɶː r	1	acteur	frz	1	18. Jh.
165	Aktie	a k t͡s iːə	1	actie	nndl	1	15. Jh.
166	Aktion	a k t͡s iːoː n	1	ActiO	l	1	15. Jh., Bedeutung 16. Jh.
167	aktiv	a k t iː f	1	ActIvus	l	1	16. Jh.
168	aktuell	a k t uːɛ l	1	actuel	frz	1	18. Jh., Form 19. Jh.
169	Akustik	a k ʊ s t ɪ k	1			2	18. Jh.
170	akut	a k uː t	1	acUtus	l	2	15. Jh.
171	Akzent	a k t͡s ɛ n t	1	accentus	l	2	15. Jh., Form 20. Jh.
172	Akzidenz	a k t͡s iː d ɛ n t͡s	1	accidentia	l	?	15. Jh., Form 18. Jh.
173	Akzise	a k t͡s iː z ə	1			?	13. Jh., Standard 16. Jh., Form 20. Jh.
174	à la		1			1	19. Jh.
175	alaaf					?	17. Jh., Form 19. Jh.
176	Alabaster	a l a b a s t ə r	1	alabaster	l	2	12. Jh.
177	Aland					?	9. Jh.
178	Alarm	a l a r m	1	allarme	it	1	15. Jh.
179	Alaun	a l au n	1	alun	frz	?	12. Jh.
180	Alb 2					2	11. Jh.
181	Albatros	a l b a t r ɔ s	1	albatros	nndl	?	18. Jh.
182	Albe 1		1	albula	l	?	13. Jh., Form 17. Jh.
183	Alber		1	alburus	ml	?	10. Jh.
184	albern	a l b ə r n				1	9. Jh., Bedeutung 12. Jh.
185	Albino	a l b iː n oː	1	albino	span	2	18. Jh.
186	Album	a l b ʊ m	1	album	l	1	16. Jh.
187	Alchimie	a l x iː m iː	1	alchimia	ml	2	13. Jh.
188	Aldermann					?	13. Jh., Standard 18. Jh.
189	alert	a l ɛ r t	1	alerte	frz	2	17. Jh.
190	Alge	a l ɡ ə	1	alga	l	1	15. Jh.,
191	Algebra	a l ɡ eː b r aː	1	algebra	ml	2	15. Jh.
192	alias	aː l iːa s	1	aliAs	l	2	15. Jh.
193	Alibi	aː l iː b iː	1			2	18. Jh.
194	Aliment		1	alimentum	l	2	15. Jh., Form 17. Jh.
195	Alkali	a l k aː l iː	1	alcali	frz	?	15. Jh.
196	Alkohol	a l k oː h oː l	1	alcohol	span	1	16. Jh.
197	Alkoven	a l k oː v ə n	1	alcôve	frz	?	17. Jh.
198	all	a l				1	8. Jh.
199	allbot					?	15. Jh.
200	alldieweil	a l d iː v ai l				?	12. Jh.
201	Allee	a l eː	1	allée	frz	1	16. Jh.
202	Allegorie	a l eː ɡ oː r iː	1	allEgoria	l	2	14. Jh.
203	allegro		1	allegro	it	?	17. Jh.
204	allein	a l ai n				1	12. Jh.
205	allenthalben	a l ə n t h a l b ə n				1	9. Jh., Form 12. Jh.
206	aller-					1	-
207	allerdings	a l ə r d ɪ ŋ s				1	13. Jh., Form 16. Jh., Bedeutung 18. Jh.
208	allerhand	a l ə r h a n t				1	13. Jh.
209	Allerwelts-					1	-
210	Allerwertester					2	15. Jh., Bedeutung 19. Jh.
211	allesamt	a l ə z a m t				1	9. Jh.
212	allfällig					?	15. Jh.
213	allgemach	a l ɡ ə m aː x				?	15. Jh.
214	allgemein	a l ɡ ə m ai n				1	12. Jh.
215	Allianz	a l iːa n t͡s	1	alliance	frz	2	16. Jh.
216	Alligator	a l iː ɡ aː t ɔ r	1	alligator	frz	2	16. Jh.
217	allmählich					1	14. Jh.
218	Allmende	a l m ɛ n d ə				?	12. Jh.
219	Allod	a l oː t				?	7. Jh.
220	Allotria	a l oː t r iːaː	1	allótria	gr	2	17. Jh.
221	Allround-		1			?	-
222	Alltag	a l t aː k				1	14. Jh., Form 17. Jh.
223	Allüren		1	allure	frz	2	19. Jh.
224	Almanach	a l m a n a x	1	almanak	mndl	2	15. Jh.
225	Almer		1	armArium	l	?	15. Jh.
226	Almosen	a l m oː z ə n	1			1	8. Jh.
227	Aloe	aː l oːeː	1	aloE	l	?	13. Jh.
228	Alphabet	a l f a b eː t	1			1	13. Jh.
229	Alraun	a l r au n				?	11. Jh.
230	als 1					1	11. Jh.
231	als 2					?	13. Jh.
232	Alsem		1			?	10. Jh.
233	also	a ʫ oː				1	8. Jh.
234	alt	a l t				1	8. Jh.
235	Alt	a l t	1	alto	it	2	15. Jh.
236	Altan	a l t aː n	1	altana	it	?	15. Jh.
237	Altar	a l t aː r	1	altAre	l	1	8. Jh.
238	altbacken	a l t b a k ə n				1	13. Jh.
239	Alter	a l t ə r				1	8. Jh.
240	alternativ	a l t ɛ r n a t iː f	1			2	15. Jh.
241	altklug	a l t k l uː k				1	18. Jh.
242	altväterisch					2	16. Jh.
243	Altvorder(e)n					?	9. Jh.
244	Altweibersommer	a l t v ai b ə r z ɔ m ə r				2	17. Jh.
245	Amalgam	a m a l ɡ aː m	1	amalgama	ml	2	16. Jh.
246	Amateur	a m a t ɶː r	1	amateur	frz	1	17. Jh.
247	Amber	a m b ə r	1			?	13. Jh.
248	Ambiente		1	ambiente;	it	?	20. Jh.
249	Ambiguität		1			?	17. Jh.
250	Amboß					1	8. Jh.
251	Ambrosia	a m b r oː z iːaː	1			2	13. Jh., Bedeutung 18. Jh.
252	ambulant	a m b uː l a n t	1	ambulant	frz	2	18. Jh.
253	Ameise	aː m ai z ə				1	8. Jh.
254	amen	aː m ɛ n	1	AmEn	l	1	8. Jh.
255	Amethyst	a m eː t ʏ s t	1	améthyste	afrz	?	12. Jh.
256	Ammann	a m a n				?	13. Jh.
257	Amme	a m ə				1	11. Jh.
258	Ammer	a m ə r				?	11. Jh.
259	Ammern					?	8. Jh.
260	Amnestie	a m n ɛ s t iː	1			2	16. Jh., Form 17. Jh.
261	Amok	aː m ɔ k	1			2	17. Jh.
262	Ampel	a m p ə l	1	ampulla	l	1	10. Jh.
263	Ampfer	a m p f ə r				?	10. Jh.
264	Amphibie	a m f iː b iːə	1			2	16. Jh.
265	Amphitheater	a m f iː t eːaː t ə r	1			2	13. Jh., Form 17. Jh.
266	Amphore	a m f oː r ə	1	amphora	l	2	16. Jh., Form 18. Jh.
267	Amplitude	a m p l iː t uː d ə	1			?	19. Jh.
268	Ampulle	a m p ʊ l ə	1	ampulla	l	2	10. Jh., Form 19. Jh.
269	Amsel	a m z ə l				1	9. Jh.
270	Amt	a m t	1			1	8. Jh.
271	Amulett	a m uː l ɛ t	1	AmUlEtum	l	1	16. Jh.
272	an	a n				1	8. Jh.
273	Anachronismus	a n a k r oː n ɪ s m ʊ s	1	anachronisme	frz	2	18. Jh.
274	Anagramm	a n a ɡ r a m	1			?	17. Jh., Form 18. Jh.
275	Analogie	a n a l oː ɡ iː	1	analogia	l	2	15. Jh.
276	Analyse	a n a l yː z ə	1			2	15. Jh., Form 18. Jh.
277	Ananas	a n a n a s	1	ananás	port	1	16. Jh.
278	Anapäst		1	anapaestus	l	?	18. Jh.
279	Anarchie	a n a r x iː	1	anarchia	ml	2	16. Jh., Form 18. Jh.
280	Anästhesie		1	anaisthEsía	gr	?	18. Jh., Form 19. Jh.
281	Anatomie	a n a t oː m iː	1			2	15. Jh., Form 18. Jh.
282	anbandeln	a n b a n d ə l n				1	18. Jh.
283	anberaumen	a n b ə r au m ə n				1	7. Jh., Form 16. Jh.
284	anbiedern	a n b iː d ə r n				1	18. Jh.
285	Anchovis	a n x oː v ɪ s	1	ansjovis	nndl	?	17. Jh.
286	Andacht	a n d a x t				1	10. Jh.
287	andante	a n d a n t ə	1	andante	it	?	18. Jh.
288	Andenken	a n d ɛ ŋ k ə n				1	13. Jh., Bedeutung 18. Jh.
289	ander					1	8. Jh.
290	anderthalb	a n d ə r t h a l p				1	8. Jh., Form 14. Jh.
291	anderweit(ig)					1	13. Jh., Form und Bedeutung 17. Jh.
292	androgyn	a n d r oː ɡ yː n	1			?	20. Jh.
293	Anekdote	a n ɛ k d oː t ə	1	anecdote	frz	2	18. Jh.
294	Anemone	a n eː m oː n ə	1	anemOnE	l	2	16. Jh.
295	anerkennen	a n ɛ r k ɛ n ə n				1	16. Jh.
296	anfangen	a n f a ŋ ə n				1	9. Jh.
297	anfechten	a n f ɛ x t ə n				1	9. Jh.
298	Anführungszeichen					1	18. Jh.
299	angeben	a n ɡ eː b ə n				1	13. Jh.
300	Angebinde	a n ɡ ə b ɪ n d ə				?	17. Jh.
301	angegossen					1	18. Jh.
302	Angel	a ŋ ə l				1	9. Jh.
303	angenehm	a n ɡ ə n eː m				1	9. Jh., Form 15. Jh.
304	Anger	a ŋ ə r				?	8. Jh.
305	Angesicht					1	13. Jh.
306	Angewende					?	11. Jh., Form 15. Jh.
307	Angina	a ŋ ɡ iː n aː	1	angina	l	2	16. Jh.
308	angreifen	a n ɡ r ai f ə n				1	9. Jh.
309	Angst	a ŋ s t				1	8. Jh.
310	Angsthase	a ŋ s t h aː z ə				1	17. Jh.
311	anhaben	a n h aː b ə n				1	13. Jh.
312	anhängig					2	15. Jh.
313	anheben	a n h eː b ə n				2	13. Jh.
314	anheim					2	15. Jh.
315	anheimeln	a n h ai m ə l n				2	18. Jh.
316	anheischig	a n h ai ʃ ɪ x				1	8. Jh., Form 14. Jh., Bedeutung 17. Jh.
317	anhimmeln	a n h ɪ m ə l n				1	19. Jh.
318	Animosität		1	animosité	frz	2	17. Jh.
319	Anis	a n iː s	1	anIsum	l	2	13. Jh.
320	Anke(n)					?	8. Jh.
321	Anker 1		1			1	12. Jh.
322	Anker 2		1	anker	nndl	?	17. Jh.
323	Anlage	a n l aː ɡ ə				1	16. Jh.
324	Anlaß					1	15. Jh., Bedeutung 19. Jh.
325	Anliegen	a n l iː ɡ ə n				1	15. Jh.
326	Anmut	a n m uː t				2	14. Jh.
327	Annalen		1	(librI)	l	2	16. Jh., Form 18. Jh.
328	annehmen	a nn eː m ə n				1	15. Jh.
329	anno	a n oː	1			2	15. Jh.
330	Annonce	a n ɔ̃ː s ə	1	annonce	frz	1	18. Jh.
331	anomal	a n oː m aː l	1	anOmalE	spl	?	17. Jh., Form 19. Jh.
332	anonym	a n oː n yː m	1	anOnymus	l	1	17. Jh.
333	Anorak	a n oː r a k	1			1	20. Jh.
334	Anrainer	a n r ai n ə r				?	16. Jh.
335	anranzen	a n r a n t͡s ə n				2	15. Jh.
336	anrüchig					1	13. Jh., Form 15. Jh.
337	ansässig					1	15. Jh.
338	anschnauzen	a n ʃ n au t͡s ə n				1	16. Jh.
339	Ansehen	a n z eːə n				1	13. Jh., Bedeutung 16. Jh.
340	Ansinnen	a n z ɪ n ə n				2	16. Jh.
341	Anstalt	a n ʃ t a l t				1	15. Jh.
342	Anstand	a n ʃ t a n t				1	17. Jh.
343	anstatt	a n ʃ t a t				1	15. Jh.
344	anstellig	a n ʃ t ɛ l ɪ x				2	18. Jh.
345	anstrengen	a n ʃ t r ɛ ŋ ə n				1	13. Jh., Form 15. Jh.
346	Antagonismus	a n t a ɡ oː n ɪ s m ʊ s	1			?	18. Jh.
347	Antenne	a n t ɛ n ə	1	antenna	it	1	15. Jh., Bedeutung 20. Jh.
348	Anthologie	a n t oː l oː ɡ iː	1	anthología	gr	?	18. Jh.
349	Anthrazit	a n t r a t͡s iː t	1	anthracite	frz	2	19. Jh.
350	antik	a n t iː k	1	antique	frz	1	17. Jh.
351	Antilope	a n t iː l oː p ə	1	antilope	frz	?	19. Jh.
352	Antimon		1			?	15. Jh., Form 18. Jh.
353	Antipathie	a n t iː p a t iː	1			2	16. Jh., Form 17. Jh.
354	Antipode	a n t iː p oː d ə	1	antipodes	l	2	16. Jh., Bedeutung 18. Jh.
355	Antiquar	a n t iː k v aː r	1			2	16. Jh., Form 18. Jh.
356	Antiquität		1	antIquitAtes	l	2	16. Jh.
357	Antlaßtag					?	13. Jh.
358	Antlitz	a n t l ɪ t͡s				1	8. Jh., Form 12. Jh.
359	antun	a n t uː n				1	8. Jh.
360	Antwort	a n t v ɔ r t				1	8. Jh., Form 15. Jh.
361	Anwalt	a n v a l t				1	10. Jh.
362	Anwärter					1	16. Jh.
363	anwenden	a n v ɛ n d ə n				1	9. Jh., Bedeutung 16. Jh.
364	Anwesen	a n v eː z ə n				1	15. Jh.
365	anwesend	a n v eː z ə n t				1	15. Jh.
366	anzetteln	a n t͡s ɛ t ə l n				1	15. Jh.
367	anzüglich					1	16. Jh.
368	Äon		1	aeOn	l	?	18. Jh.
369	Aorta	aɔ r t aː	1	aorta	ml	?	16. Jh.
370	Apanage	a p a n aː ʒ ə	1			?	15. Jh.
371	apart	a p a r t	1	à	frz	2	16. Jh.
372	Apartment	a p a r t m ə n t	1			2	20. Jh.
373	Apathie	a p a t iː	1			2	18. Jh.
374	aper					?	11. Jh.
375	Apercu		1	apercu	frz	2	18. Jh.
376	Aperitif		1			2	16. Jh., Bedeutung 20. Jh.
377	Apfel	a p f ə l				1	8. Jh.
378	Aphasie	a f a z iː	1	(poet.)	gr	?	18. Jh.
379	Aphorismus	a f oː r ɪ s m ʊ s	1	aphorismus	l	2	15. Jh., Bedeutung 18. Jh.
380	Aplomb	a p l ɔ̃ː	1	aplomb	frz	?	18. Jh.
381	apodiktisch	a p oː d ɪ k t ɪ ʃ	1			2	17. Jh., Form 18. Jh.
382	Apokalypse	a p oː k a l yː p s ə	1	apocalypsis	l	2	14. Jh.
383	Apologie	a p oː l oː ɡ iː	1	apologia	l	?	16. Jh., Form 17. Jh.
384	Aporie	a p oː r iː	1	aporia	spl	?	19. Jh.
385	Apostel	a p ɔ s t ə l	1	apostolus	l	1	8. Jh.
386	Apostroph	a p oː s t r oː f	1	apostrophus	l	2	17. Jh., Form 18. Jh.
387	Apotheke	a p oː t eː k ə	1	apothEca	l	1	13. Jh.
388	Apparat	a p a r aː t	1	apparAtus	l	1	14. Jh., Bedeutung 19. Jh.
389	Appartement	a p a r t ə m ɑ̃ː	1	appartement	frz	2	17. Jh.
390	Appetit	a p eː t iː t	1	appétit	frz	1	15. Jh.
391	Apposition	a p oː z iː t͡s iːoː n	1	appositio	ml	?	18. Jh.
392	Appretur	a p r eː t uː r	1	apprêt	frz	?	18. Jh.
393	Aprikose	a p r iː k oː z ə	1			1	17. Jh.
394	April	a p r ɪ l	1			1	12. Jh.
395	apropos	a p r oː p oː	1	à	frz	2	17. Jh.
396	Aquamarin	a k v a m a r iː n	1			?	16. Jh., Form 18. Jh.
397	Aquaplaning		1	aquaplaning	ne	?	20. Jh.
398	Aquarell	a k v a r ɛ l	1	acquarella	it	2	18. Jh.
399	Äquator		1	aequAtor	l	2	16. Jh.
400	äquivalent		1	équivalent	frz	?	17. Jh.
401	Ar	aː r	1			?	19. Jh.
402	Ära		1	aera	spl	2	17. Jh.
403	Arabeske	a r a b ɛ s k ə	1	arabesque	frz	?	18. Jh.
404	Arbeit	a r b ai t				1	8. Jh.
405	arbiträr		1	arbitraire	frz	?	17. Jh.
406	archaisch	a r x aːɪ ʃ	1	archaicus	spl	2	18. Jh.
407	Archäologie		1	archaiología	gr	2	17. Jh.
408	Arche	a r x ə	1			2	9. Jh.
409	Archipel	a r x iː p eː l	1	arcipelago	it	?	16. Jh., Form 19. Jh.
410	Architekt	a r x iː t ɛ k t	1	architectus	l	1	16. Jh.
411	Archiv	a r x iː f	1	archIvum	ml	2	15. Jh.
412	Areal		1			2	18. Jh.
413	Arena	a r eː n aː	1	arena	it	2	16. Jh.
414	arg	a r k				1	8. Jh.
415	ärgern					1	11. Jh.
416	Argument	a r ɡ uː m ɛ n t	1	argUmentum	l	2	14. Jh.
417	Argwohn	a r k v oː n				1	12. Jh.
418	Arie	aː r iːə	1	aria	it	2	17. Jh.
419	Aristokratie	a r ɪ s t oː k r a t iː	1	aristocratie	frz	2	15. Jh.
420	Arithmetik	a r ɪ t m eː t ɪ k	1	arithmEtica	l	2	14. Jh.
421	Arkade	a r k aː d ə	1	arcade	frz	?	17. Jh.
422	Arkebusier		1	arquebusier	frz	?	16. Jh.
423	arktisch	a r k t ɪ ʃ	1	arcticus	l	2	18. Jh.
424	Arl		1			?	13. Jh.
425	Arlesbaum					?	12. Jh.
426	arm	a r m				1	8. Jh.
427	Arm	a r m				1	8. Jh.
428	Armada	a r m aː d aː	1	armada	span	?	16. Jh.
429	Armatur	a r m a t uː r	1	armatura	it	2	16. Jh.
430	Armee	a r m eː	1	armée	frz	1	16. Jh.
431	Ärmel					1	10. Jh.
432	Armleuchter	a r m l ɔy x t ə r				1	18. Jh., Bedeutung 20. Jh.
433	Armut	a r m uː t				1	8. Jh.
434	Arnika		1			?	14. Jh.
435	Aroma	a r oː m aː	1	arOma	l	1	17. Jh.
436	Arrak		1	arak	frz	?	17. Jh.
437	Arrest	a r ɛ s t	1			1	15. Jh.
438	arrogant	a r oː ɡ a n t	1	arrogant	frz	1	18. Jh.
439	Arsch	a r ʃ				1	11. Jh., in Komposita 8. Jh.
440	Arsen	a r z eː n	1			2	15. Jh., Form 19. Jh.
441	Arsenal	a r z eː n aː l	1	arsenale	it	2	15. Jh.
442	Art 1					1	12. Jh.
443	Art 2					?	12. Jh.
444	Art 3		1			?	20. Jh.
445	Arterie	a r t eː r iːə	1	artEria	l	2	14. Jh.
446	artig	aː r t ɪ x				1	13. Jh.
447	Artikel	a r t iː k ə l	1	articulus	l	1	13. Jh.
448	Artillerie	a r t ɪ l ə r iː	1	artillerie	frz	2	15. Jh.
449	Artischocke	a r t ɪ ʃ ɔ k ə	1			2	16. Jh.
450	Artist	a r t ɪ s t	1	artista	ml	2	14. Jh., Bedeutung 19. Jh.
451	Arzt	aː r t͡s t	1			1	9. Jh.
452	As	ɛː s	1	as	frz	1	18. Jh.
453	Asbest	a s b ɛ s t	1	asbestos	l	2	12. Jh.
454	Asche	a ʃ ə				1	8. Jh.
455	Aschenbrödel					1	16. Jh.
456	Aschermittwoch	a ʃ ə r m ɪ t v ɔ x				1	14. Jh.
457	Ase	aː z ə	1	áss.	anord	?	19. Jh.
458	äsen					2	12. Jh.
459	Aser					?	14. Jh.
460	Asket	a s k eː t	1	askEtes	gr	2	18. Jh.
461	Aspekt	a s p ɛ k t	1	aspectus	l	2	15. Jh.
462	Asphalt	a s f a l t	1	asphaltus	spl	2	15. Jh.
