# Wordlist

# DATA
ID	DOCULECT	CONCEPT	GLOSSID	IPA	TOKENS	COGID	ALIGNMENT	STRUCTURE	PATTERNS
70	English	bone	10	bəʊn	b əʊ n	21	b əʊ n	c c c	162-8/b 156-1/eˀ 238-12/n 0/n 0/n 0/n
71	Danish	bone	10	beˀn	b eˀ n	21	b eˀ n	c c c	162-8/b 156-1/eˀ 238-12/n 0/n 0/n 0/n
72	Swedish	bone	10	beːn	b eː n	21	b eː n	c c c	162-8/b 156-1/eˀ 238-12/n 0/n 0/n 0/n
73	Icelandic	bone	10	peiːn	p eiː n	21	p eiː n	c c c	162-8/b 156-1/eˀ 238-12/n 0/n 0/n 0/n 0/n
74	Dutch	bone	10	beːn	b eː n	21	b eː n	c c c	162-8/b 156-1/eˀ 238-12/n 0/n 0/n 0/n
75	Norwegian	bone	10	beːn	b eː n	21	b eː n	c c c	162-8/b 156-1/eˀ 238-12/n 0/n 0/n 0/n
#
76	German	breast	11	brʊst	b r ʊ s t	23	b - r - ʊ s t	c c c c c	42-2/b 165-1/- 95-23/ʁ 143-6/- 49-1/œ 256-3/s 276-1/d 0/n 0/n 0/n 0/n 0/n 0/n
77	English	breast	11	brɛst	b r ɛ s t	23	b - r - ɛ s t	c c c c c	42-2/b 165-1/- 95-23/ʁ 143-6/- 49-1/œ 256-3/s 276-1/d 0/n 0/n 0/n 0/n 0/n 0/n
78	Danish	breast	11	bʁœsd	b ʁ œ s d	23	b - ʁ - œ s d	c c c c c	42-2/b 165-1/- 95-23/ʁ 143-6/- 49-1/œ 256-3/s 276-1/d 0/n 0/n 0/n 0/n 0/n 0/n
79	Swedish	breast	11	brøst	b r ø s t	23	b - r - ø s t	c c c c c	42-2/b 165-1/- 95-23/ʁ 143-6/- 49-1/œ 256-3/s 276-1/d 0/n 0/n 0/n 0/n 0/n 0/n
80	Icelandic	breast	11	b̥rjousd̥	b̥ r j ou s d̥	23	b̥ - r j ou s d̥	c c c c c c	42-2/b 165-1/- 95-23/ʁ 143-6/- 49-1/œ 256-3/s 276-1/d 0/n 0/n 0/n 0/n 0/n 0/n 0/n 0/n 0/n
81	Dutch	breast	11	bɔrst	b ɔ r s t	23	b ɔ r - - s t	c c c c c	42-2/b 165-1/- 95-23/ʁ 143-6/- 49-1/œ 256-3/s 276-1/d 0/n 0/n 0/n 0/n 0/n 0/n
82	Norwegian	breast	11	bɾyst	b ɾ y s t	-23	b ɾ y s t	c c c c c	0/n 0/n 0/n 0/n 0/n 0/n 0/n 0/n 0/n
#
83	German	burn (V)	12	brɛnən	b r ɛ n ə n	24	b - r ɛ - n - ə n	c c c c c c	42-2/b 68-1/- 95-23/ʁ 78-1/a 172-1/- 136-3/n 230-1/- 241-11/ə 38-19/- 0/n 0/n 0/n 0/n 0/n 0/n 0/n 0/n
84	English	burn (V)	12	bɜːrn	b ɜː r n	24	b ɜː r - - n - - -	c c c c	42-2/b 68-1/- 95-23/ʁ 78-1/a 172-1/- 136-3/n 230-1/- 241-11/ə 38-19/- 0/n 0/n 0/n 0/n 0/n 0/n 0/n 0/n 0/n
85	Danish	burn (V)	12	bʁanə	b ʁ a n ə	24	b - ʁ a - n - ə -	c c c c c	42-2/b 68-1/- 95-23/ʁ 78-1/a 172-1/- 136-3/n 230-1/- 241-11/ə 38-19/- 0/n 0/n 0/n 0/n 0/n 0/n 0/n 0/n
86	Swedish	burn (V)	12	brɛnːa	b r ɛ nː a	24	b - r ɛ - nː - a -	c c c c c	42-2/b 68-1/- 95-23/ʁ 78-1/a 172-1/- 136-3/n 230-1/- 241-11/ə 38-19/- 0/n 0/n 0/n 0/n 0/n 0/n 0/n 0/n 0/n
87	Icelandic	burn (V)	12	b̥rɛtna	b̥ r ɛ t n a	24	b̥ - r ɛ t n - a -	c c c c c c	42-2/b 68-1/- 95-23/ʁ 78-1/a 172-1/- 136-3/n 230-1/- 241-11/ə 38-19/- 0/n 0/n 0/n 0/n 0/n 0/n 0/n 0/n 0/n
88	Dutch	burn (V)	12	brɑndə	b r ɑ n d ə	24	b - r ɑ - n d ə -	c c c c c c	42-2/b 68-1/- 95-23/ʁ 78-1/a 172-1/- 136-3/n 230-1/- 241-11/ə 38-19/- 0/n 0/n 0/n 0/n 0/n 0/n 0/n 0/n
89	Norwegian	burn (V)	12	bɾenə	b ɾ e n ə	24	b - ɾ e - n - ə -	c c c c c	42-2/b 68-1/- 95-23/ʁ 78-1/a 172-1/- 136-3/n 230-1/- 241-11/ə 38-19/- 0/n 0/n 0/n 0/n 0/n 0/n 0/n 0/n
#
90	German	claw	13	naːɡəl	n aː ɡ ə l	25	n aː ɡ ə l	c c c c c	238-12/n 96-1/ɑ 293-1/jˀ 267-1/- 44-18/l 0/n 0/n 0/n 0/n 0/n
91	English	claw	13	neɪl	n eɪ l	25	n eɪ - - l	c c c	238-12/n 96-1/ɑ 293-1/jˀ 267-1/- 44-18/l 0/n 0/n 0/n 0/n 0/n
92	Danish	claw	13	nɑjˀl	n ɑ jˀ l	25	n ɑ jˀ - l	c c c c	238-12/n 96-1/ɑ 293-1/jˀ 267-1/- 44-18/l 0/n 0/n 0/n 0/n 0/n
93	Swedish	claw	13	naːgel	n aː g e l	25	n aː g e l	c c c c c	238-12/n 96-1/ɑ 293-1/jˀ 267-1/- 44-18/l 0/n 0/n 0/n 0/n 0/n
94	Icelandic	claw	13	nakl	n a k l	25	n a k - l	c c c c	238-12/n 96-1/ɑ 293-1/jˀ 267-1/- 44-18/l 0/n 0/n 0/n 0/n
95	Dutch	claw	13	naːɣəl	n aː ɣ ə l	25	n aː ɣ ə l	c c c c c	238-12/n 96-1/ɑ 293-1/jˀ 267-1/- 44-18/l 0/n 0/n 0/n 0/n 0/n
96	Norwegian	claw	13	næjl	n æ j l	25	n æ j - l	c c c c	238-12/n 96-1/ɑ 293-1/jˀ 267-1/- 44-18/l 0/n 0/n 0/n 0/n
#
97	German	cloud	14	vɔlkə	v ɔ l k ə	26	v ɔ l k ə	c c c c c	94-9/v 305-2/u 44-18/l 294-8/k 6-11/ə 0/n 0/n 0/n 0/n
98	English	cloud	14	klaʊd	k l aʊ d	29	k l aʊ d	c c c c	0/n 0/n 0/n 0/n 0/n 0/n 0/n 0/n
99	Danish	cloud	14	sgyˀ	s g yˀ	28	s g yˀ	c c c	130-7/s 307-2/g 125-2/yˀ 0/n 0/n 0/n
100	Swedish	cloud	14	ɧyː	ɧ yː	28	ɧ - yː	c c	130-7/s 307-2/g 125-2/yˀ 0/n 0/n 0/n
101	Icelandic	cloud	14	sciː	s c iː	28	s c iː	c c c	130-7/s 307-2/g 125-2/yˀ 0/n 0/n 0/n
102	Dutch	cloud	14	ʋɔlk	ʋ ɔ l k	26	ʋ ɔ l k -	c c c c	94-9/v 305-2/u 44-18/l 294-8/k 6-11/ə 0/n 0/n 0/n 0/n
103	Norwegian	cloud	14	ʃyː	ʃ yː	-28	ʃ yː	c c	0/n 0/n 0/n 0/n
104	Swedish	cloud	14	moːln	m oː l n	27	m oː l n	c c c c	0/n 0/n 0/n 0/n 0/n 0/n 0/n 0/n
#
105	German	cold	15	kalt	k a l t	30	k a l t - -	c c c c	294-8/k 227-1/ʌ 235-1/lˀ 272-1/- 209-21/- 299-22/- 0/n 0/n 0/n 0/n 0/n
106	English	cold	15	kəʊld	k əʊ l d	30	k əʊ l d - -	c c c c	294-8/k 227-1/ʌ 235-1/lˀ 272-1/- 209-21/- 299-22/- 0/n 0/n 0/n 0/n 0/n 0/n
107	Danish	cold	15	kʌlˀ	k ʌ lˀ	30	k ʌ lˀ - - -	c c c	294-8/k 227-1/ʌ 235-1/lˀ 272-1/- 209-21/- 299-22/- 0/n 0/n 0/n 0/n 0/n 0/n
108	Swedish	cold	15	kalː	k a lː	30	k a lː - - -	c c c	294-8/k 227-1/ʌ 235-1/lˀ 272-1/- 209-21/- 299-22/- 0/n 0/n 0/n 0/n 0/n 0/n
109	Icelandic	cold	15	kʰaltʏr	kʰ a l t ʏ r	30	kʰ a l t ʏ r	c c c c c c	294-8/k 227-1/ʌ 235-1/lˀ 272-1/- 209-21/- 299-22/- 0/n 0/n 0/n 0/n 0/n 0/n
110	Dutch	cold	15	kɑut	k ɑu t	30	k ɑu - t - -	c c c	294-8/k 227-1/ʌ 235-1/lˀ 272-1/- 209-21/- 299-22/- 0/n 0/n 0/n 0/n 0/n 0/n
111	Norwegian	cold	15	kɑl	k ɑ l	-30	k ɑ l	c c c	0/n 0/n 0/n 0/n 0/n
#
112	German	come (V)	16	kɔmən	k ɔ m ə n	31	- - k ɔ m ə n	c c c c c	85-1/- 178-1/- 294-8/k 142-2/ʌ 113-2/m 241-11/ə 38-19/- 0/n 0/n 0/n 0/n 0/n 0/n
113	English	come (V)	16	kʌm	k ʌ m	31	- - k ʌ m - -	c c c	85-1/- 178-1/- 294-8/k 142-2/ʌ 113-2/m 241-11/ə 38-19/- 0/n 0/n 0/n 0/n 0/n 0/n
114	Danish	come (V)	16	kʌmə	k ʌ m ə	31	- - k ʌ m ə -	c c c c	85-1/- 178-1/- 294-8/k 142-2/ʌ 113-2/m 241-11/ə 38-19/- 0/n 0/n 0/n 0/n 0/n 0/n
115	Swedish	come (V)	16	komːa	k o mː a	31	- - k o mː a -	c c c c	85-1/- 178-1/- 294-8/k 142-2/ʌ 113-2/m 241-11/ə 38-19/- 0/n 0/n 0/n 0/n 0/n 0/n 0/n
116	Icelandic	come (V)	16	kʰɔːma	kʰ ɔː m a	31	- - kʰ ɔː m a -	c c c c	85-1/- 178-1/- 294-8/k 142-2/ʌ 113-2/m 241-11/ə 38-19/- 0/n 0/n 0/n 0/n 0/n 0/n 0/n 0/n
117	Dutch	come (V)	16	aːŋkoːmə	aː ŋ k oː m ə	31	aː ŋ k oː m ə -	c c c c c c	85-1/- 178-1/- 294-8/k 142-2/ʌ 113-2/m 241-11/ə 38-19/- 0/n 0/n 0/n 0/n 0/n 0/n 0/n 0/n
118	Norwegian	come (V)	16	kɔmə	k ɔ m ə	31	- - k ɔ m ə -	c c c c	85-1/- 178-1/- 294-8/k 142-2/ʌ 113-2/m 241-11/ə 38-19/- 0/n 0/n 0/n 0/n 0/n 0/n
#
119	German	die (V)	17	ʃtɛrbən	ʃ t ɛ r b ə n	32	ʃ t ɛ r b ə n	c c c c c c c	130-7/s 43-7/- 66-3/æ 95-23/ʁ 121-2/- 241-11/ə 38-19/- 0/n 0/n 0/n 0/n 0/n 0/n
120	English	die (V)	17	daɪ	d aɪ	-33	d aɪ	c c	0/n 0/n 0/n 0/n
121	Danish	die (V)	17	døˀ	d øˀ	33	d øˀ - -	c c	187-6/d 118-1/øˀ 143-6/- 122-3/- 0/n 0/n 0/n 0/n
122	Swedish	die (V)	17	dø	d ø	33	d ø - -	c c	187-6/d 118-1/øˀ 143-6/- 122-3/- 0/n 0/n 0/n
123	Icelandic	die (V)	17	teiːja	t eiː j a	33	t eiː j a	c c c c	187-6/d 118-1/øˀ 143-6/- 122-3/- 0/n 0/n 0/n 0/n 0/n
124	Dutch	die (V)	17	stɛrvə	s t ɛ r v ə	32	s t ɛ r v ə -	c c c c c c	130-7/s 43-7/- 66-3/æ 95-23/ʁ 121-2/- 241-11/ə 38-19/- 0/n 0/n 0/n 0/n 0/n 0/n
125	Norwegian	die (V)	17	døː	d øː	33	d øː - -	c c	187-6/d 118-1/øˀ 143-6/- 122-3/- 0/n 0/n 0/n 0/n
#
126	German	dog	18	hʊnt	h ʊ n t	35	h ʊ n t - -	c c c c	229-9/h 155-1/u 222-4/nˀ 43-7/- 209-21/- 299-22/- 0/n 0/n 0/n 0/n 0/n
127	English	dog	18	dɔɡ	d ɔ ɡ	34	d ɔ ɡ	c c c	0/n 0/n 0/n 0/n 0/n
128	Danish	dog	18	hunˀ	h u nˀ	35	h u nˀ - - -	c c c	229-9/h 155-1/u 222-4/nˀ 43-7/- 209-21/- 299-22/- 0/n 0/n 0/n 0/n 0/n 0/n
129	Swedish	dog	18	hunːd	h u nː d	35	h u nː d - -	c c c c	229-9/h 155-1/u 222-4/nˀ 43-7/- 209-21/- 299-22/- 0/n 0/n 0/n 0/n 0/n 0/n
130	Icelandic	dog	18	hʏntʏr	h ʏ n t ʏ r	35	h ʏ n t ʏ r	c c c c c c	229-9/h 155-1/u 222-4/nˀ 43-7/- 209-21/- 299-22/- 0/n 0/n 0/n 0/n 0/n
131	Dutch	dog	18	hɔnt	h ɔ n t	35	h ɔ n t - -	c c c c	229-9/h 155-1/u 222-4/nˀ 43-7/- 209-21/- 299-22/- 0/n 0/n 0/n 0/n 0/n
132	Norwegian	dog	18	hʉn	h ʉ n	-35	h ʉ n	c c c	0/n 0/n 0/n 0/n 0/n
#
133	German	drink (V)	19	trɪŋkən	t r ɪ ŋ k ə n	36	t r ɪ ŋ k ə n	c c c c c c c	187-6/d 95-23/ʁ 200-1/ɛ 182-1/- 132-1/g 241-11/ə 38-19/- 0/n 0/n 0/n 0/n 0/n 0/n
134	English	drink (V)	19	drɪŋk	d r ɪ ŋ k	36	d r ɪ ŋ k - -	c c c c c	187-6/d 95-23/ʁ 200-1/ɛ 182-1/- 132-1/g 241-11/ə 38-19/- 0/n 0/n 0/n 0/n 0/n 0/n
135	Danish	drink (V)	19	dʁɛgə	d ʁ ɛ g ə	36	d ʁ ɛ - g ə -	c c c c c	187-6/d 95-23/ʁ 200-1/ɛ 182-1/- 132-1/g 241-11/ə 38-19/- 0/n 0/n 0/n 0/n 0/n 0/n
136	Swedish	drink (V)	19	drikːa	d r i kː a	36	d r i - kː a -	c c c c c	187-6/d 95-23/ʁ 200-1/ɛ 182-1/- 132-1/g 241-11/ə 38-19/- 0/n 0/n 0/n 0/n 0/n 0/n 0/n
137	Icelandic	drink (V)	19	trɛʰka	t r ɛʰ k a	36	t r ɛʰ - k a -	c c c c c	187-6/d 95-23/ʁ 200-1/ɛ 182-1/- 132-1/g 241-11/ə 38-19/- 0/n 0/n 0/n 0/n 0/n 0/n 0/n
138	Dutch	drink (V)	19	drɪŋkə	d r ɪ ŋ k ə	36	d r ɪ ŋ k ə -	c c c c c c	187-6/d 95-23/ʁ 200-1/ɛ 182-1/- 132-1/g 241-11/ə 38-19/- 0/n 0/n 0/n 0/n 0/n 0/n
139	Norwegian	drink (V)	19	dɾikə	d ɾ i k ə	-36	d ɾ i k ə	c c c c c	0/n 0/n 0/n 0/n 0/n 0/n 0/n 0/n 0/n
#
140	German	dry	20	trɔkən	t r ɔ k ə n	38	t r ɔ k ə n	c c c c c c	187-6/d 95-23/ʁ 41-1/Ø 24-2/jˀ 6-11/ə 38-19/- 0/n 0/n 0/n 0/n 0/n
